Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2000,33,Lithuania,2,0,3,5,Lithuania,Lithuania,Lithuania,1788.0,3629102.0,2392434.0
2000,47,Thailand,1,0,2,3,Thailand,Thailand,Thailand,2849.0,59098232.0,40348975.0
2000,47,Estonia,1,0,2,3,Estonia,Estonia,Estonia,3081.0,1436634.0,945131.0
2000,3,China,28,16,14,58,China,China,China,603.0,1204855000.0,801384577.0
2000,5,Germany,13,17,26,56,Germany,Germany,Germany,31873.0,81678051.0,55828044.0
2000,64,Uruguay,0,1,0,1,Uruguay,Uruguay,Uruguay,6643.0,3189440.0,2006087.0
2000,64,Vietnam,0,1,0,1,Vietnam,Viet Nam,Viet Nam,281.0,72049940.0,42047515.0
2000,68,Georgia,0,0,6,6,Georgia,Georgia,Georgia,583.0,4657722.0,2995005.0
2000,61,Saudi Arabia,0,1,1,2,Saudi Arabia,Saudi Arabia,Saudi Arabia,7579.0,13289245.0,7537663.0
2000,58,Morocco,0,1,4,5,Morocco,Morocco,Morocco,1456.0,26399429.0,15635638.0
2000,6,France,13,14,11,38,France,France,France,27029.0,59541294.0,38925506.0
2000,25,Spain,3,3,5,11,Spain,Spain,Spain,15437.0,39724050.0,27139001.0
2000,71,Iceland,0,0,1,1,Iceland,Iceland,Iceland,26612.0,267468.0,172111.0
2000,71,India,0,0,1,1,India,India,India,386.0,960301044.0,561470150.0
2000,71,Israel,0,0,1,1,Israel,Israel,Israel,19221.0,5545000.0,3368248.0
2000,7,Italy,13,8,13,34,Italy,Italy,Italy,20650.0,56844303.0,38860972.0
2000,40,Mexico,1,2,3,6,Mexico,Mexico,Mexico,4225.0,90862455.0,53682751.0
2000,41,Nigeria,1,2,0,3,Nigeria,Nigeria,Nigeria,467.0,110819428.0,58186776.0
2004,45,Lithuania,1,2,0,3,Lithuania,Lithuania,Lithuania,7741.0,3322528.0,2229895.0
2004,44,Croatia,1,2,2,5,Croatia,Croatia,Croatia,10347.0,4310145.0,2874169.0
2004,27,Austria,2,4,1,7,Austria,Austria,Austria,38406.0,8227829.0,5576283.0
2004,41,Kenya,1,4,2,7,Kenya,Kenya,Kenya,657.0,35796484.0,19137524.0
2004,40,Kazakhstan,1,4,3,8,Kazakhstan,Kazakhstan,Kazakhstan,3649.0,15968117.0,10812033.0
2004,39,Chile,2,0,1,3,Chile,Chile,Chile,7602.0,16348778.0,10923684.0
2004,38,Argentina,2,0,4,6,Argentina,Argentina,Argentina,5135.0,39216789.0,24744244.0
2004,52,Israel,1,0,1,2,Israel,Israel,Israel,21910.0,6930100.0,4309856.0
2004,51,Belgium,1,0,2,3,Belgium,Belgium,Belgium,36661.0,10478617.0,6878738.0
2004,65,India,0,1,0,1,India,India,India,713.0,1154676322.0,713167418.0
2004,64,Estonia,0,1,2,3,Estonia,Estonia,Estonia,10412.0,1354775.0,922211.0
2004,63,Slovenia,0,1,3,4,Slovenia,Slovenia,Slovenia,18059.0,2000474.0,1408337.0
2004,13,Ukraine,8,5,9,22,Ukraine,Ukraine,Ukraine,1902.0,47585556.0,33293756.0
2004,12,Hungary,8,6,3,17,Hungary,Hungary,Hungary,11238.0,10087065.0,6951085.0
2004,4,Australia,17,16,17,50,Australia,Australia,Australia,37843.0,20176844.0,13589360.0
2004,5,Japan,16,9,12,37,Japan,Japan,Japan,37805.0,127773000.0,84286399.0
2004,6,Germany,13,16,20,49,Germany,Germany,Germany,35041.0,82469422.0,54964326.0
2004,7,France,11,9,13,33,France,France,France,35117.0,63180854.0,41105162.0
